,publication_date,num_pages,price,الادارة والاعمال,الادب والشعر,التاريخ والجغرافيا,التراجم والسير,التقنية والكمبيوتر,الخيال العلمي,العلوم الاجتماعية والسياسية,العلوم والرياضيات,القانون,القصة والرواية,الكتب الطبية,تطوير الذات,دراسات اسلامية,وصل حديثاً,cover_غلاف مقوى,cover_غلاف مقوى فني,cover_غلاف ورقي,cover_كتاب الكتروني,Language_انجليزي,Language_عربي,Cluster,image_urls,title,author
67,2018,510,432.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,3,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=100,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/ingram/9/c/0/7/9c07dcf199f37bd812253175c17b44a5dd493711_9783319856087.jpg",Linear Regression,"Olive, David J."
68,1989,293,29.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,2,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=100,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/2/9/293605.jpg",The Crusades Through Arab Eyes,‎Amin Maalouf‎
69,1997,320,475.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,3,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=100,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/ingram/8/f/6/7/8f67aa15ce72c2e29b7d4f22dc8a5c61d57a8b50_9783540629955.jpg",Complex Manifolds,"Bell, Steven"
70,2016,248,54.76,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,12,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=100,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/6/464790.jpg",‎جدلية الفلسفة السياسية والمنهج عند هيجل‎,‎حامد عبدالحمزة العلي‎
71,2005,288,9.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,14,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=100,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1/delta/502116.jpg",Ringworld (SF Masterworks),‎Larry Niven‎
72,2016,367,59.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=100,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/8/489048.jpg",Complete Denture Prosthodontics,‎Sujit Kumar Das‎
73,2018,330,99.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,9,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=100,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/5/1/518197.jpg",Microsoft Excel Data Analysis,‎Paul McFedries‎
74,2019,168,335.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,3,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=100,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/ingram/d/8/0/3/d803cc1b0dd5d739742197999aabf0c6dcfc1617_9786200092908.jpg",Introduction To Probability,"Assefa, Enyew"
75,2021,171,15.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,6,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=100,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1/delta/522590.jpg",‎منطق غير شائع‎,‎مارك هومر‎
76,2020,352,36.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=100,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/5/9/59602.jpg",‎أيام العرب في الجاهلية‎,‎علي البجاوي ‎/‎ محمد أبوالفضل ابراهيم‎
