title,brand,author,cover,publication_date,category,reviews,num_pages,price,img_url,Language,url
Behavioral Medicine (Made Ridiculously Simple),Medmaster,‎Frank Seitz‎,Paperback,1997,"الكتب الطبية,",Not found,‎140‎ صفحة‎,45,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/8/487843.jpg",انجليزي,https://www.jarir.com//medmaster-english-books-487843.html
The Four-Minute Neurologic Exam,Medmaster,‎Stephen Goldberg‎,Paperback,2011,"الكتب الطبية,",Not found,‎49‎ Pages‎,59,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/8/487844.jpg",انجليزي,https://www.jarir.com//medmaster-english-books-487844.html
Drug Information Handbook for Dentistry,Lexi-Comp,‎Richard Wynn‎,Paperback,2017,"الكتب الطبية,",Not found,‎2099‎ Pages‎,299,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/8/488008.jpg",انجليزي,https://www.jarir.com//lexi-comp-english-books-488008.html
Dental Office Medical,Lexi-Comp,‎Timothy Meiller‎,Paperback,2017,"الكتب الطبية,",Not found,‎140‎ صفحة‎,189,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/8/488009.jpg",انجليزي,https://www.jarir.com//lexi-comp-english-books-488009.html
Oral Hard Tissue Diseases,Lexi-Comp,‎Staffs of Lexi‎-‎Comp‎,Paperback,2016,"الكتب الطبية,",Not found,‎ورقة 148‎,199,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/8/488011.jpg",انجليزي,https://www.jarir.com//lexi-comp-english-books-488011.html
Nursing Aid,CBS Publishers & Distributors,‎Cecilia Correia‎,Paperback,2016,"الكتب الطبية,",Not found,‎186‎ Pages‎,25,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/8/488045.jpg",انجليزي,https://www.jarir.com//cbs-publishers-distributors-english-books-488045.html
Clinical Methods in Pain Medicine,CBS Publishers & Distributors,‎Gautam Das‎,Paperback,2005,"الكتب الطبية,",Not found,‎196‎ Pages‎,49,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/8/488047.jpg",انجليزي,https://www.jarir.com//cbs-publishers-distributors-english-books-488047.html
Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,انجليزي,https://www.jarir.com//cbs-publishers-distributors-english-books-488026.html
Introduction to General Pharmacy,CBS Publishers & Distributors,‎Gaurav Agarwal‎,Paperback,2016,"الكتب الطبية,",Not found,‎376‎ Pages‎,35,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/8/488027.jpg",انجليزي,https://www.jarir.com//cbs-publishers-distributors-english-books-488027.html
Textbook of Pediatrics,CBS Publishers & Distributors,‎Mukesh Agrawal‎,Paperback,2005,"الكتب الطبية,",Not found,‎944‎ Pages‎,69,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/8/488029.jpg",انجليزي,https://www.jarir.com//cbs-publishers-distributors-english-books-488029.html
Textbook of Microbiology for Dental Students,CBS Publishers & Distributors,‎D. R. Arora‎,Paperback,2015,"الكتب الطبية,",Not found,‎396‎ Pages‎,39,"https://www.jarir.com/cdn-cgi/image/fit=contain,width=54,height=auto,quality=85,metadata=none/https://ak-asset.jarir.com/akeneo-prod/asset/m1images/4/8/488031.jpg",انجليزي,https://www.jarir.com//cbs-publishers-distributors-english-books-488031.html
